de	para	tipo	origem
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.CharSequence	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.lang.System	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	java.time.LocalDate	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditPermission	interno	classes
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	br.com.sawcunhaos.security.starter.specification.ScosSystem	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.flow.audit.infrastructure.enumaration.ScosAuditSystem	java.lang.Object	jdk	java.base
