tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos.flow:infrastructure	1.0.0-SNAPSHOT	gerenciada:dependencyManagement (confirmada por effective-pom)	compile	
direta	br.com.sawcunhaos.flow:flow-security-starter	1.0.0-SNAPSHOT	gerenciada:dependencyManagement (confirmada por effective-pom)	compile	
direta	org.junit.jupiter:junit-jupiter	6.0.3	effective-pom	test	
transitiva	antlr:antlr	2.7.7	transitiva	runtime	
transitiva	aopalliance:aopalliance	1.0	transitiva	compile	
transitiva	br.com.caelum.stella:caelum-stella-core	2.2.2	transitiva	compile	
transitiva	br.com.sawcunhaos.flow:flow-security-grpc-proto	1.0.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-jdempotent	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-jdempotent-api	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-jpa	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-spring	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-validation	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-web	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-core	2.21.5	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-databind	2.21.5	transitiva	compile	
transitiva	com.fasterxml.jackson.datatype:jackson-datatype-jdk8	2.21.5	transitiva	compile	
transitiva	com.fasterxml.jackson.datatype:jackson-datatype-jsr310	2.21.5	transitiva	compile	
transitiva	com.fasterxml.jackson.module:jackson-module-parameter-names	2.21.5	transitiva	compile	
transitiva	com.fasterxml.woodstox:woodstox-core	7.2.1	transitiva	compile	
transitiva	com.fasterxml:classmate	1.7.3	transitiva	compile	
transitiva	com.github.ben-manes.caffeine:caffeine	3.2.4	transitiva	compile	
transitiva	com.github.stephenc.jcip:jcip-annotations	1.0-1	transitiva	compile	
transitiva	com.google.android:annotations	4.1.1.4	transitiva	runtime	
transitiva	com.google.api.grpc:proto-google-common-protos	2.64.1	transitiva	compile	
transitiva	com.google.code.findbugs:jsr305	3.0.2	transitiva	compile	
transitiva	com.google.code.gson:gson	2.14.0	transitiva	runtime	
transitiva	com.google.errorprone:error_prone_annotations	2.48.0	transitiva	compile	
transitiva	com.google.guava:failureaccess	1.0.3	transitiva	compile	
transitiva	com.google.guava:guava	33.7.1-jre	transitiva	compile	
transitiva	com.google.guava:listenablefuture	9999.0-empty-to-avoid-conflict-with-guava	transitiva	compile	
transitiva	com.google.j2objc:j2objc-annotations	3.1	transitiva	compile	
transitiva	com.google.protobuf:protobuf-java	4.34.2	transitiva	compile	
transitiva	com.netflix.eureka:eureka-client	2.0.6	transitiva	compile	
transitiva	com.netflix.netflix-commons:netflix-eventbus	0.3.0	transitiva	runtime	
transitiva	com.netflix.netflix-commons:netflix-infix	0.3.0	transitiva	runtime	
transitiva	com.netflix.servo:servo-core	0.5.3	transitiva	runtime	
transitiva	com.netflix.spectator:spectator-api	1.7.3	transitiva	compile	
transitiva	com.nimbusds:content-type	2.3	transitiva	compile	
transitiva	com.nimbusds:lang-tag	1.7	transitiva	compile	
transitiva	com.nimbusds:nimbus-jose-jwt	10.9.1	transitiva	compile	
transitiva	com.nimbusds:oauth2-oidc-sdk	11.38.2	transitiva	compile	
transitiva	com.opencsv:opencsv	5.12.0	transitiva	compile	
transitiva	com.squareup.okhttp3:okhttp	4.12.0	transitiva	runtime	
transitiva	com.squareup.okio:okio	3.4.0	transitiva	runtime	
transitiva	com.squareup.okio:okio-jvm	3.4.0	transitiva	runtime	
transitiva	com.stoyanr:evictor	1.0.0	transitiva	compile	
transitiva	com.sun.istack:istack-commons-runtime	4.1.2	transitiva	compile	
transitiva	com.thoughtworks.xstream:xstream	1.4.21	transitiva	compile	
transitiva	com.zaxxer:HikariCP	7.0.2	transitiva	compile	
transitiva	commons-codec:commons-codec	1.21.0	transitiva	compile	
transitiva	commons-io:commons-io	2.22.0	transitiva	compile	
transitiva	commons-jxpath:commons-jxpath	1.3	transitiva	runtime	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	de.siegmar:logback-gelf	6.1.2	transitiva	compile	
transitiva	io.github.openfeign.querydsl:querydsl-core	7.6	transitiva	compile	
transitiva	io.github.openfeign.querydsl:querydsl-jpa	7.6	transitiva	compile	
transitiva	io.github.x-stream:mxparser	1.2.2	transitiva	compile	
transitiva	io.grpc:grpc-api	1.83.1	transitiva	compile	
transitiva	io.grpc:grpc-context	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-core	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-okhttp	1.83.1	transitiva	compile	
transitiva	io.grpc:grpc-protobuf	1.83.1	transitiva	compile	
transitiva	io.grpc:grpc-protobuf-lite	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-stub	1.83.1	transitiva	compile	
transitiva	io.grpc:grpc-util	1.83.1	transitiva	runtime	
transitiva	io.hypersistence:hypersistence-tsid	2.1.4	transitiva	compile	
transitiva	io.hypersistence:hypersistence-utils-hibernate-71	3.15.5	transitiva	compile	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	compile	
transitiva	io.micrometer:context-propagation	1.2.1	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-core	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-jakarta9	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-registry-prometheus	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-tracing	1.7.1	transitiva	compile	
transitiva	io.micrometer:micrometer-tracing-bridge-otel	1.7.1	transitiva	compile	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-handler	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport-native-unix-common	4.2.17.Final	transitiva	compile	
transitiva	io.opentelemetry.semconv:opentelemetry-semconv	1.41.1	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-api	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-common	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-context	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-exporter-common	1.62.0	transitiva	runtime	
transitiva	io.opentelemetry:opentelemetry-exporter-zipkin	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-extension-trace-propagators	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-sdk	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-sdk-common	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-sdk-extension-autoconfigure-spi	1.62.0	transitiva	runtime	
transitiva	io.opentelemetry:opentelemetry-sdk-logs	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-sdk-metrics	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-sdk-trace	1.62.0	transitiva	compile	
transitiva	io.perfmark:perfmark-api	0.27.0	transitiva	runtime	
transitiva	io.projectreactor.addons:reactor-extra	3.6.1	transitiva	compile	
transitiva	io.projectreactor:reactor-core	3.8.6	transitiva	compile	
transitiva	io.prometheus:prometheus-metrics-config	1.7.0	transitiva	compile	
transitiva	io.prometheus:prometheus-metrics-core	1.7.0	transitiva	compile	
transitiva	io.prometheus:prometheus-metrics-exposition-formats	1.7.0	transitiva	runtime	
transitiva	io.prometheus:prometheus-metrics-exposition-textformats	1.7.0	transitiva	runtime	
transitiva	io.prometheus:prometheus-metrics-model	1.7.0	transitiva	compile	
transitiva	io.prometheus:prometheus-metrics-tracer-common	1.7.0	transitiva	compile	
transitiva	io.zipkin.reporter2:zipkin-reporter	3.5.3	transitiva	compile	
transitiva	io.zipkin.reporter2:zipkin-sender-okhttp3	3.5.3	transitiva	runtime	
transitiva	io.zipkin.zipkin2:zipkin	2.27.1	transitiva	compile	
transitiva	jakarta.activation:jakarta.activation-api	2.1.4	transitiva	compile	
transitiva	jakarta.annotation:jakarta.annotation-api	3.0.0	transitiva	compile	
transitiva	jakarta.inject:jakarta.inject-api	2.0.1	transitiva	compile	
transitiva	jakarta.persistence:jakarta.persistence-api	3.2.0	transitiva	compile	
transitiva	jakarta.transaction:jakarta.transaction-api	2.0.1	transitiva	compile	
transitiva	jakarta.validation:jakarta.validation-api	3.1.1	transitiva	compile	
transitiva	jakarta.ws.rs:jakarta.ws.rs-api	4.0.0	transitiva	compile	
transitiva	jakarta.xml.bind:jakarta.xml.bind-api	4.0.5	transitiva	compile	
transitiva	javax.annotation:javax.annotation-api	1.2	transitiva	runtime	
transitiva	javax.xml.bind:jaxb-api	2.3.1	transitiva	compile	
transitiva	joda-time:joda-time	2.3	transitiva	runtime	
transitiva	net.bytebuddy:byte-buddy	1.18.11	transitiva	runtime	
transitiva	net.minidev:accessors-smart	2.6.0	transitiva	compile	
transitiva	net.minidev:json-smart	2.6.0	transitiva	compile	
transitiva	org.antlr:antlr-runtime	3.4	transitiva	runtime	
transitiva	org.antlr:antlr4-runtime	4.13.2	transitiva	compile	
transitiva	org.antlr:stringtemplate	3.2.1	transitiva	runtime	
transitiva	org.apache.commons:commons-collections4	4.6.0	transitiva	compile	
transitiva	org.apache.commons:commons-lang3	3.20.0	transitiva	compile	
transitiva	org.apache.commons:commons-math	2.2	transitiva	runtime	
transitiva	org.apache.commons:commons-text	1.15.0	transitiva	compile	
transitiva	org.apache.httpcomponents.client5:httpclient5	5.6.4	transitiva	compile	
transitiva	org.apache.httpcomponents.core5:httpcore5	5.4.3	transitiva	compile	
transitiva	org.apache.httpcomponents.core5:httpcore5-h2	5.4.3	transitiva	compile	
transitiva	org.apache.httpcomponents:httpclient	4.5.3	transitiva	compile	
transitiva	org.apache.httpcomponents:httpcore	4.4.16	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-api	2.25.5	transitiva	compile	
transitiva	org.apache.logging.log4j:log4j-to-slf4j	2.25.5	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-core	11.0.24	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-el	11.0.24	transitiva	compile	
transitiva	org.apache.tomcat.embed:tomcat-embed-websocket	11.0.24	transitiva	compile	
transitiva	org.apiguardian:apiguardian-api	1.1.2	transitiva	test	
transitiva	org.aspectj:aspectjweaver	1.9.25.1	transitiva	compile	
transitiva	org.bouncycastle:bcpkix-jdk18on	1.85	transitiva	compile	
transitiva	org.bouncycastle:bcprov-jdk18on	1.85.2	transitiva	compile	
transitiva	org.bouncycastle:bcutil-jdk18on	1.85	transitiva	compile	
transitiva	org.checkerframework:checker-qual	3.55.1	transitiva	runtime	
transitiva	org.codehaus.jettison:jettison	1.5.4	transitiva	runtime	
transitiva	org.codehaus.mojo:animal-sniffer-annotations	1.27	transitiva	compile	
transitiva	org.codehaus.woodstox:stax2-api	4.3.0	transitiva	compile	
transitiva	org.eclipse.angus:angus-activation	2.0.3	transitiva	runtime	
transitiva	org.geolatte:geolatte-geom	1.11	transitiva	compile	
transitiva	org.glassfish.jaxb:jaxb-core	4.0.9	transitiva	compile	
transitiva	org.glassfish.jaxb:jaxb-runtime	4.0.9	transitiva	compile	
transitiva	org.glassfish.jaxb:txw2	4.0.9	transitiva	compile	
transitiva	org.hdrhistogram:HdrHistogram	2.2.2	transitiva	runtime	
transitiva	org.hibernate.models:hibernate-models	1.1.1	transitiva	runtime	
transitiva	org.hibernate.orm:hibernate-core	7.4.5.Final	transitiva	compile	
transitiva	org.hibernate.orm:hibernate-spatial	7.4.5.Final	transitiva	compile	
transitiva	org.hibernate.validator:hibernate-validator	9.1.3.Final	transitiva	compile	
transitiva	org.javassist:javassist	3.28.0-GA	transitiva	compile	
transitiva	org.jboss.logging:jboss-logging	3.6.3.Final	transitiva	compile	
transitiva	org.jetbrains.kotlin:kotlin-stdlib	2.3.21	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-common	1.8.0	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-jdk7	2.3.21	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-jdk8	2.3.21	transitiva	runtime	
transitiva	org.jetbrains:annotations	13.0	transitiva	runtime	
transitiva	org.junit.jupiter:junit-jupiter-api	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-engine	6.0.3	transitiva	test	
transitiva	org.junit.jupiter:junit-jupiter-params	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-commons	6.0.3	transitiva	test	
transitiva	org.junit.platform:junit-platform-engine	6.0.3	transitiva	test	
transitiva	org.liquibase:liquibase-core	5.0.4	transitiva	compile	
transitiva	org.locationtech.jts:jts-core	1.20.0	transitiva	compile	
transitiva	org.opentest4j:opentest4j	1.3.0	transitiva	test	
transitiva	org.ow2.asm:asm	9.7.1	transitiva	compile	
transitiva	org.postgresql:postgresql	42.7.13	transitiva	compile	
transitiva	org.projectlombok:lombok	1.18.46	transitiva	compile	
transitiva	org.reactivestreams:reactive-streams	1.0.4	transitiva	compile	
transitiva	org.reflections:reflections	0.10.2	transitiva	compile	
