de	para	tipo	origem
br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	java.lang.System	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableAPI	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableAPI	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableAPI	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableAPI	java.lang.annotation.Target	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	br.com.sawcunhaos.flow.audit.sdk.api.AuditAction	interno	classes
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	java.lang.annotation.Annotation	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	java.lang.annotation.Retention	jdk	java.base
br.com.sawcunhaos.flow.audit.sdk.api.AuditableEntity	java.lang.annotation.Target	jdk	java.base
