de	para	tipo	origem
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.CharSequence	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.lang.System	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	java.time.LocalDate	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalPermission	interno	classes
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	br.com.sawcunhaos.security.starter.specification.ScosSystem	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.System	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.util.Arrays	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.util.List	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.util.function.Function	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.enumaration.ScosGeotemporalSystem	java.util.stream.Stream	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	interno	classes
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	java.io.File	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	javax.sql.DataSource	jdk	java.sql
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	liquibase.integration.spring.MultiTenantSpringLiquibase	externo	liquibase-core-5.0.4.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	org.springframework.beans.factory.annotation.Qualifier	externo	spring-beans-7.0.9.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	org.springframework.boot.autoconfigure.condition.ConditionalOnProperty	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	org.springframework.context.annotation.Configuration	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseConfiguration	org.springframework.context.annotation.DependsOn	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	br.com.sawcunhaos.foundation.jpa.liquibase.BaseLiquibaseProperties	externo	scos-foundation-jpa-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	org.springframework.boot.context.properties.ConfigurationProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.geotemporal.infrastructure.liquibase.ScosFlowGeotemporalLiquibaseProperties	org.springframework.validation.annotation.Validated	externo	spring-context-7.0.9.jar
