de	para	tipo	origem
br.com.sawcunhaos.flow.infrastructure.async.AsyncConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.AsyncConfiguration	org.springframework.context.annotation.Configuration	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.async.AsyncConfiguration	org.springframework.scheduling.annotation.EnableAsync	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.util.concurrent.Executor	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.util.concurrent.ExecutorService	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	java.util.concurrent.Executors	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.apache.catalina.connector.Connector	externo	tomcat-embed-core-11.0.24.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.apache.coyote.ProtocolHandler	externo	tomcat-embed-core-11.0.24.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.boot.tomcat.TomcatConnectorCustomizer	externo	spring-boot-tomcat-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactory	externo	spring-boot-tomcat-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.boot.web.server.WebServerFactoryCustomizer	externo	spring-boot-web-server-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.context.annotation.Configuration	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.async.ThreadsScosConfiguration	org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	interno	classes
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	com.zaxxer.hikari.HikariDataSource	externo	HikariCP-7.0.2.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	io.micrometer.core.instrument.MeterRegistry	externo	micrometer-core-1.17.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	jakarta.persistence.EntityManagerFactory	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	javax.sql.DataSource	jdk	java.sql
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.beans.factory.annotation.Autowired	externo	spring-beans-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.beans.factory.annotation.Qualifier	externo	spring-beans-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.context.properties.ConfigurationProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.context.properties.EnableConfigurationProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.jdbc.DataSourceBuilder	externo	spring-boot-jdbc-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.jdbc.autoconfigure.DataSourceProperties	externo	spring-boot-jdbc-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.jpa.EntityManagerFactoryBuilder	externo	spring-boot-jpa-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.boot.jpa.EntityManagerFactoryBuilder$Builder	externo	spring-boot-jpa-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.context.annotation.Configuration	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.context.annotation.Primary	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.data.jpa.repository.config.EnableJpaAuditing	externo	spring-data-jpa-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.data.jpa.repository.config.EnableJpaRepositories	externo	spring-data-jpa-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.orm.jpa.JpaTransactionManager	externo	spring-orm-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean	externo	spring-orm-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.transaction.PlatformTransactionManager	externo	spring-tx-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDataSourceConfiguration	org.springframework.transaction.annotation.EnableTransactionManagement	externo	spring-tx-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	br.com.sawcunhaos.foundation.core.specification.ScosUserAuthentication	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.CharSequence	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	org.aspectj.lang.ProceedingJoinPoint	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	org.aspectj.lang.annotation.Around	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	org.aspectj.lang.annotation.Aspect	externo	aspectjweaver-1.9.25.1.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	org.springframework.jdbc.core.JdbcTemplate	externo	spring-jdbc-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosDatabaseApplicationName	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.database.ScosHikariConfigProperties	org.springframework.boot.context.properties.ConfigurationProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.infrastructure.message.LocaleUtilsBean	br.com.sawcunhaos.foundation.core.specification.LocaleService	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.flow.infrastructure.message.LocaleUtilsBean	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.message.LocaleUtilsBean	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.infrastructure.message.LocaleUtilsBean	java.util.List	jdk	java.base
