tipo	ga	versao	origem	scope	divergente
direta	br.com.sawcunhaos:scos-foundation-web	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-jpa	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-jdempotent	1.2.0-SNAPSHOT	effective-pom	compile	
direta	br.com.sawcunhaos:scos-foundation-validation	1.2.0-SNAPSHOT	effective-pom	compile	
direta	org.postgresql:postgresql	42.7.13	effective-pom	compile	
direta	org.liquibase:liquibase-core	5.0.4	effective-pom	compile	
direta	org.hibernate.orm:hibernate-spatial	7.4.5.Final	effective-pom	compile	
direta	io.hypersistence:hypersistence-utils-hibernate-71	3.15.5	effective-pom	compile	
direta	io.micrometer:micrometer-registry-prometheus	1.17.1	effective-pom	compile	
direta	io.micrometer:micrometer-tracing-bridge-otel	1.7.1	effective-pom	compile	
direta	io.opentelemetry:opentelemetry-exporter-zipkin	1.62.0	effective-pom	compile	
direta	org.reflections:reflections	0.10.2	effective-pom	compile	
direta	org.yaml:snakeyaml	2.6	effective-pom	compile	
direta	org.bouncycastle:bcpkix-jdk18on	1.85	effective-pom	compile	
direta	com.github.ben-manes.caffeine:caffeine	3.2.4	effective-pom	compile	
direta	com.fasterxml.jackson.core:jackson-databind	2.21.5	effective-pom	compile	
direta	org.springframework.cloud:spring-cloud-starter-circuitbreaker-resilience4j	5.0.2	effective-pom	compile	
transitiva	aopalliance:aopalliance	1.0	transitiva	compile	
transitiva	br.com.caelum.stella:caelum-stella-core	2.2.2	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-cache	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-core	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-jdempotent-api	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-privacy	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	br.com.sawcunhaos:scos-foundation-validation-api	1.2.0-SNAPSHOT	transitiva	compile	
transitiva	ch.qos.logback:logback-classic	1.5.38	transitiva	compile	
transitiva	ch.qos.logback:logback-core	1.5.38	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-annotations	2.22	transitiva	compile	
transitiva	com.fasterxml.jackson.core:jackson-core	2.21.5	transitiva	compile	
transitiva	com.fasterxml.woodstox:woodstox-core	7.2.1	transitiva	compile	
transitiva	com.fasterxml:classmate	1.7.3	transitiva	compile	
transitiva	com.google.code.findbugs:jsr305	3.0.2	transitiva	compile	
transitiva	com.google.errorprone:error_prone_annotations	2.48.0	transitiva	compile	
transitiva	com.opencsv:opencsv	5.12.0	transitiva	compile	
transitiva	com.squareup.okhttp3:okhttp	4.12.0	transitiva	runtime	
transitiva	com.squareup.okio:okio	3.6.0	transitiva	runtime	
transitiva	com.squareup.okio:okio-jvm	3.6.0	transitiva	runtime	
transitiva	com.sun.istack:istack-commons-runtime	4.1.2	transitiva	compile	
transitiva	com.zaxxer:HikariCP	7.0.2	transitiva	compile	
transitiva	commons-io:commons-io	2.22.0	transitiva	compile	
transitiva	commons-logging:commons-logging	1.3.6	transitiva	compile	
transitiva	de.siegmar:logback-gelf	6.1.2	transitiva	compile	
transitiva	io.github.openfeign.querydsl:querydsl-core	7.6	transitiva	compile	
transitiva	io.github.openfeign.querydsl:querydsl-jpa	7.6	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-annotations	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-circuitbreaker	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-circularbuffer	2.3.0	transitiva	runtime	
transitiva	io.github.resilience4j:resilience4j-consumer	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-core	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-framework-common	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-micrometer	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-ratelimiter	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-retry	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-spring-boot3	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-spring6	2.3.0	transitiva	compile	
transitiva	io.github.resilience4j:resilience4j-timelimiter	2.3.0	transitiva	compile	
transitiva	io.hypersistence:hypersistence-tsid	2.1.4	transitiva	compile	
transitiva	io.lettuce:lettuce-core	7.5.2.RELEASE	transitiva	compile	
transitiva	io.micrometer:context-propagation	1.2.1	transitiva	compile	
transitiva	io.micrometer:micrometer-commons	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-core	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-observation	1.17.1	transitiva	compile	
transitiva	io.micrometer:micrometer-tracing	1.7.1	transitiva	compile	
transitiva	io.netty:netty-buffer	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-base	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-codec-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-common	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-handler	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-resolver-dns	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport	4.2.17.Final	transitiva	compile	
transitiva	io.netty:netty-transport-native-unix-common	4.2.17.Final	transitiva	compile	
transitiva	io.opentelemetry.semconv:opentelemetry-semconv	1.41.1	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-api	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-common	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-context	1.62.0	transitiva	compile	
transitiva	io.opentelemetry:opentelemetry-exporter-common	1.62.0	transitiva	runtime	
transitiva	io.opentelemetry:opentelemetry-extension-trace-propagators	1.62.0	transitiva	compile	
