de	para	tipo	origem
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.foundation.jdempotent.api.JdempotentRequestPayload	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.foundation.jdempotent.api.JdempotentResource	externo	scos-foundation-jdempotent-api-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.foundation.web.annotation.ScosRequestGET	externo	scos-foundation-web-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.foundation.web.annotation.ScosRequestPOST	externo	scos-foundation-web-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.foundation.web.annotation.ScosRequestPUT	externo	scos-foundation-web-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.controller.AddressTypeApi$1	interno	classes
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.controller.AddressTypeApiDelegate	interno	classes
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.CatalogEntityType	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.CreateAddressTypeRequest	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.CreateResponse	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.GetAddressTypeResponse	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.GetAllAddressTypesResponse	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.PaginationFilter	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	br.com.sawcunhaos.organization.api.dto.UpdateAddressTypeRequest	externo	flow-organization-usecase-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	jakarta.validation.Valid	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	jakarta.validation.constraints.NotNull	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.lang.Void	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.util.Optional	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	java.util.UUID	jdk	java.base
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	org.springframework.security.access.prepost.PreAuthorize	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	org.springframework.web.bind.annotation.PathVariable	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	org.springframework.web.bind.annotation.RequestBody	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	org.springframework.web.bind.annotation.RequestHeader	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi	org.springframework.web.bind.annotation.RequestParam	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.organization.api.controller.AddressTypeApi$1	br.com.sawcunhaos.organization.api.controller.AddressTypeApi	interno	classes
