de	para	tipo	origem
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.Record	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.util.List	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	java.util.UUID	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.util.List	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.AuthorityResponseOutput$AuthorityResponseOutputBuilder	java.util.UUID	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestEscalationPolicy	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestLevel	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestStatus	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestType	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.Record	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.time.Instant	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	java.time.LocalDateTime	jdk	java.base
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestEscalationPolicy	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestLevel	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestStatus	interno	classes
br.com.sawcunhaos.organization.domain.access.login.dto.LoginApprovalRequestOutput$LoginApprovalRequestOutputBuilder	br.com.sawcunhaos.organization.domain.access.login.internal.LoginApprovalRequestType	interno	classes
