de	para	tipo	origem
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.CharSequence	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.lang.System	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	java.time.LocalDate	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationPermission	interno	classes
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	br.com.sawcunhaos.security.starter.specification.ScosPermission	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	br.com.sawcunhaos.security.starter.specification.ScosSystem	externo	flow-security-starter-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.System	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.util.Arrays	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.util.List	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.util.function.Function	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.enumaration.ScosOrganizationSystem	java.util.stream.Stream	jdk	java.base
br.com.sawcunhaos.organization.infrastructure.liquibase.ScosFlowOrganizationLiquibaseConfiguration	br.com.sawcunhaos.organization.infrastructure.liquibase.ScosFlowOrganizationLiquibaseProperties	interno	classes
br.com.sawcunhaos.organization.infrastructure.liquibase.ScosFlowOrganizationLiquibaseConfiguration	java.io.File	jdk	java.base
