de	para	tipo	origem
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	interno	classes
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	jakarta.persistence.AttributeConverter	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	jakarta.persistence.Converter	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.shared.converter.SecretKeyConverter	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	jakarta.persistence.AttributeConverter	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	jakarta.persistence.Converter	externo	jakarta.persistence-api-3.2.0.jar
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	java.time.ZoneId	jdk	java.base
br.com.sawcunhaos.organization.shared.converter.ZoneIdConverter	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	br.com.sawcunhaos.foundation.core.specification.ExceptionCode	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.lang.Exception	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.lang.Throwable	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.security.SecureRandom	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.security.spec.InvalidKeySpecException	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.security.spec.KeySpec	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.util.Base64	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.util.Base64$Encoder	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	java.util.Objects	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	javax.crypto.SecretKey	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	javax.crypto.SecretKeyFactory	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	javax.crypto.spec.PBEKeySpec	jdk	java.base
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	org.slf4j.Logger	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	org.slf4j.LoggerFactory	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	org.springframework.beans.factory.annotation.Value	externo	spring-beans-7.0.9.jar
br.com.sawcunhaos.organization.shared.utils.PasswordGenerateUtil	org.springframework.stereotype.Component	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	br.com.sawcunhaos.foundation.core.exception.ScosException	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	br.com.sawcunhaos.foundation.core.specification.ExceptionCode	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	br.com.sawcunhaos.organization.shared.exception.ExceptionCodeError	interno	classes
br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	jakarta.annotation.PostConstruct	externo	jakarta.annotation-api-3.0.0.jar
br.com.sawcunhaos.organization.shared.utils.SystemSecretCryptoService	java.lang.Class	jdk	java.base
