de	para	tipo	origem
br.com.sawcunhaos.organization.api.dto.AddressType	br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	interno	classes
br.com.sawcunhaos.organization.api.dto.AddressType	br.com.sawcunhaos.organization.api.dto.CatalogEntityType	interno	classes
br.com.sawcunhaos.organization.api.dto.AddressType	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.AddressType	jakarta.validation.Valid	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.organization.api.dto.AddressType	java.io.Serializable	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.Record	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	br.com.sawcunhaos.organization.api.dto.AddressType	interno	classes
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	br.com.sawcunhaos.organization.api.dto.CatalogEntityType	interno	classes
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.api.dto.AddressType$AddressTypeBuilder	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	interno	classes
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	jakarta.validation.constraints.NotNull	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.io.Serializable	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.Record	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest	interno	classes
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.api.dto.ApproveLoginApprovalRequestRequest$ApproveLoginApprovalRequestRequestBuilder	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	com.fasterxml.jackson.annotation.JsonCreator	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	com.fasterxml.jackson.annotation.JsonValue	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.io.Serializable	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.Enum	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.IllegalArgumentException	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.System	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.api.dto.CatalogEntityType	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	interno	classes
br.com.sawcunhaos.organization.api.dto.Cnae	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.Cnae	java.io.Serializable	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.Class	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.Record	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.invoke.TypeDescriptor	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae	java.lang.runtime.ObjectMethods	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	br.com.sawcunhaos.organization.api.dto.Cnae	interno	classes
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.Long	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.Object	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.String	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Cnae$CnaeBuilder	java.lang.invoke.StringConcatFactory	jdk	java.base
br.com.sawcunhaos.organization.api.dto.Companies	br.com.sawcunhaos.organization.api.dto.Companies$CompaniesBuilder	interno	classes
br.com.sawcunhaos.organization.api.dto.Companies	br.com.sawcunhaos.organization.api.dto.StatusCompany	interno	classes
br.com.sawcunhaos.organization.api.dto.Companies	com.fasterxml.jackson.annotation.JsonProperty	externo	jackson-annotations-2.22.jar
br.com.sawcunhaos.organization.api.dto.Companies	jakarta.validation.Valid	externo	jakarta.validation-api-3.1.1.jar
br.com.sawcunhaos.organization.api.dto.Companies	java.io.Serializable	jdk	java.base
