de	para	tipo	origem
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.Descriptors	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.Descriptors$Descriptor	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.Descriptors$FileDescriptor	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.ExtensionRegistry	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.ExtensionRegistryLite	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.GeneratedFile	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.GeneratedMessage	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.GeneratedMessage$FieldAccessorTable	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.RuntimeVersion	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.RuntimeVersion$RuntimeDomain	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	com.google.protobuf.WrappersProto	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityProto	java.lang.String	jdk	java.base
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	br.com.sawcunhaos.security.grpc.proto.AuthorityProto	interno	classes
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	br.com.sawcunhaos.security.grpc.proto.AuthorityRequest$1	interno	classes
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	br.com.sawcunhaos.security.grpc.proto.AuthorityRequest$Builder	interno	classes
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	br.com.sawcunhaos.security.grpc.proto.AuthorityRequestOrBuilder	interno	classes
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.AbstractMessage	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.AbstractMessage$BuilderParent	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.ByteString	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.CodedInputStream	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.CodedOutputStream	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.Descriptors	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.Descriptors$Descriptor	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.ExtensionRegistryLite	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.GeneratedMessage	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.GeneratedMessage$Builder	externo	protobuf-java-4.34.2.jar
br.com.sawcunhaos.security.grpc.proto.AuthorityRequest	com.google.protobuf.GeneratedMessage$FieldAccessorTable	externo	protobuf-java-4.34.2.jar
