tipo	ga	versao	origem	scope	divergente
direta	io.grpc:grpc-stub	1.83.1	effective-pom	compile	
direta	io.grpc:grpc-protobuf	1.83.1	effective-pom	compile	
direta	io.grpc:grpc-okhttp	1.83.1	effective-pom	compile	
direta	com.google.protobuf:protobuf-java	4.34.2	effective-pom	compile	
transitiva	com.google.android:annotations	4.1.1.4	transitiva	runtime	
transitiva	com.google.api.grpc:proto-google-common-protos	2.64.1	transitiva	compile	
transitiva	com.google.code.findbugs:jsr305	3.0.2	transitiva	compile	
transitiva	com.google.code.gson:gson	2.14.0	transitiva	runtime	
transitiva	com.google.errorprone:error_prone_annotations	2.48.0	transitiva	compile	
transitiva	com.google.guava:failureaccess	1.0.3	transitiva	compile	
transitiva	com.google.guava:guava	33.7.1-jre	transitiva	compile	
transitiva	com.google.guava:listenablefuture	9999.0-empty-to-avoid-conflict-with-guava	transitiva	compile	
transitiva	com.google.j2objc:j2objc-annotations	3.1	transitiva	compile	
transitiva	com.squareup.okio:okio	3.4.0	transitiva	runtime	
transitiva	com.squareup.okio:okio-jvm	3.4.0	transitiva	runtime	
transitiva	io.grpc:grpc-api	1.83.1	transitiva	compile	
transitiva	io.grpc:grpc-context	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-core	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-protobuf-lite	1.83.1	transitiva	runtime	
transitiva	io.grpc:grpc-util	1.83.1	transitiva	runtime	
transitiva	io.perfmark:perfmark-api	0.27.0	transitiva	runtime	
transitiva	org.codehaus.mojo:animal-sniffer-annotations	1.27	transitiva	compile	
transitiva	org.jetbrains.kotlin:kotlin-stdlib	2.3.21	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-common	1.8.0	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-jdk7	2.3.21	transitiva	runtime	
transitiva	org.jetbrains.kotlin:kotlin-stdlib-jdk8	2.3.21	transitiva	runtime	
transitiva	org.jetbrains:annotations	13.0	transitiva	runtime	
