de	para	tipo	origem
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	br.com.sawcunhaos.foundation.core.specification.ScosUserAuthentication	externo	scos-foundation-core-1.2.0-SNAPSHOT.jar
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	java.lang.Class	jdk	java.base
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	java.lang.Object	jdk	java.base
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	java.lang.String	jdk	java.base
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	java.util.Objects	jdk	java.base
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	org.slf4j.Logger	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	org.slf4j.LoggerFactory	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	org.springframework.security.core.Authentication	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	org.springframework.security.core.context.SecurityContext	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.security.starter.ScosUserAuthenticationBean	org.springframework.security.core.context.SecurityContextHolder	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.security.starter.SecurityConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.security.starter.SecurityConfiguration	org.springframework.boot.autoconfigure.AutoConfiguration	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.security.starter.SecurityConfiguration	org.springframework.boot.autoconfigure.condition.ConditionalOnProperty	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.security.starter.SecurityConfiguration	org.springframework.context.annotation.Import	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.security.starter.SecurityConfiguration	org.springframework.security.config.annotation.method.configuration.EnableMethodSecurity	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.SecurityConfiguration	org.springframework.security.config.annotation.web.configuration.EnableWebSecurity	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.GrantedAuthorityConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.GrantedAuthorityConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.GrantedAuthorityConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.GrantedAuthorityConfiguration	org.springframework.security.config.core.GrantedAuthorityDefaults	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	br.com.sawcunhaos.security.starter.configuration.properties.CorsProperties	interno	classes
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	br.com.sawcunhaos.security.starter.exception.AccessDeniedExceptionHandler	interno	classes
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	br.com.sawcunhaos.security.starter.exception.ExceptionHandlerFilter	interno	classes
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	jakarta.servlet.Filter	externo	tomcat-embed-core-11.0.24.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.Boolean	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.Class	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.Exception	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.Long	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.Object	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.String	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.CallSite	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.LambdaMetafactory	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.MethodHandle	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.MethodHandles	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.MethodHandles$Lookup	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.lang.invoke.MethodType	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	java.util.List	jdk	java.base
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.boot.actuate.info.InfoEndpoint	externo	spring-boot-actuator-4.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.boot.health.actuate.endpoint.HealthEndpoint	externo	spring-boot-health-4.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.boot.security.autoconfigure.actuate.web.servlet.EndpointRequest	externo	spring-boot-security-4.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.boot.security.autoconfigure.actuate.web.servlet.EndpointRequest$EndpointRequestMatcher	externo	spring-boot-security-4.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.context.annotation.Bean	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.context.annotation.Primary	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.Customizer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.HttpSecurityBuilder	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.builders.HttpSecurity	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.AbstractHttpConfigurer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer$AuthorizationManagerRequestMatcherRegistry	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.AuthorizeHttpRequestsConfigurer$AuthorizedUrl	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.ExceptionHandlingConfigurer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.HeadersConfigurer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.HeadersConfigurer$FrameOptionsConfig	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.annotation.web.configurers.SessionManagementConfigurer	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.config.http.SessionCreationPolicy	externo	spring-security-config-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.core.context.SecurityContextHolder	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.core.context.SecurityContextHolderStrategy	externo	spring-security-core-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.web.access.AccessDeniedHandler	externo	spring-security-web-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter	externo	spring-security-web-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.security.web.util.matcher.RequestMatcher	externo	spring-security-web-7.1.1.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.web.cors.CorsConfiguration	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.web.cors.CorsConfigurationSource	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.ScosHttpSecurityConfiguration	org.springframework.web.cors.UrlBasedCorsConfigurationSource	externo	spring-web-7.0.9.jar
br.com.sawcunhaos.security.starter.configuration.ScosServiceConfiguration	br.com.sawcunhaos.security.grpc.proto.RegistryServiceGrpc	externo	flow-security-grpc-proto-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.security.starter.configuration.ScosServiceConfiguration	br.com.sawcunhaos.security.grpc.proto.RegistryServiceGrpc$RegistryServiceBlockingV2Stub	externo	flow-security-grpc-proto-1.0.0-SNAPSHOT.jar
br.com.sawcunhaos.security.starter.configuration.ScosServiceConfiguration	br.com.sawcunhaos.security.grpc.proto.ValidateAuthorityServiceGrpc	externo	flow-security-grpc-proto-1.0.0-SNAPSHOT.jar
