de	para	tipo	origem
br.com.sawcunhaos.flow.server.ScosFlowApplication	jakarta.annotation.PostConstruct	externo	jakarta.annotation-api-3.0.0.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	java.lang.Class	jdk	java.base
br.com.sawcunhaos.flow.server.ScosFlowApplication	java.lang.Object	jdk	java.base
br.com.sawcunhaos.flow.server.ScosFlowApplication	java.lang.String	jdk	java.base
br.com.sawcunhaos.flow.server.ScosFlowApplication	java.time.Instant	jdk	java.base
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.slf4j.Logger	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.slf4j.LoggerFactory	externo	slf4j-api-2.0.18.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.springframework.boot.SpringApplication	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.springframework.boot.autoconfigure.SpringBootApplication	externo	spring-boot-autoconfigure-4.1.1.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.springframework.boot.info.BuildProperties	externo	spring-boot-4.1.1.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.springframework.context.ConfigurableApplicationContext	externo	spring-context-7.0.9.jar
br.com.sawcunhaos.flow.server.ScosFlowApplication	org.springframework.context.annotation.ComponentScan	externo	spring-context-7.0.9.jar
