path	blob	bytes	lines	module	kind	last_commit	last_modified	author	commits_90d	tracked
.editorconfig	c483ff092b9a	331	23	_raiz	config	3fd0fe0baf56	2026-02-15	Samuel Cunha	0	1
.env.example	5be8ce9e7686	6447	113	_raiz	config	42068fb75e15	2026-07-07	Samuel Cunha	1	1
.gitignore	c7e6bed9ff79	2501	153	_raiz	config	cb56142c7d3c	2026-06-28	Samuel Cunha	1	1
LICENSE	261eeb9e9f8b	11357	202	_raiz	nao_classificado	db6e7c18b2b2	2026-02-15	Samuel Gonçalves Cunha	0	1
README.md	1ec82629e6b2	17075	318	_raiz	doc	ab13021f9c80	2026-08-16	Samuel Cunha	3	1
pom.xml	e76265f30a71	9197	236	_raiz	build	effba6673329	2026-09-09	Samuel Cunha	11	1
audit/pom.xml	29140fe0730d	2176	63	audit	build	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-infrastructure/pom.xml	e63f1aebde99	2348	75	audit/flow-audit-infrastructure	build	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-infrastructure/src/main/java/br/com/sawcunhaos/flow/audit/infrastructure/enumaration/ScosAuditPermission.java	65d7a523ca14	1645	55	audit/flow-audit-infrastructure	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-infrastructure/src/main/java/br/com/sawcunhaos/flow/audit/infrastructure/enumaration/ScosAuditSystem.java	3df5a4e77d3b	1529	61	audit/flow-audit-infrastructure	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-infrastructure/src/main/java/br/com/sawcunhaos/flow/audit/infrastructure/liquibase/ScosFlowAuditLiquibaseConfiguration.java	1f8acd0b5512	2350	55	audit/flow-audit-infrastructure	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-infrastructure/src/main/java/br/com/sawcunhaos/flow/audit/infrastructure/liquibase/ScosFlowAuditLiquibaseProperties.java	74dd9d9f3c1a	933	29	audit/flow-audit-infrastructure	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/pom.xml	10c708aeeccb	1566	48	audit/flow-audit-resources	build	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/liquibase.properties	603005dbb8ac	176	7	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/db.changelog-master.yml	f4645362941f	496	20	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/property.yml	7b9b4c89743d	438	21	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/checks/checks.yml	f84a8a23d510	651	14	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/function/function.yml	7b08d2b9ba67	617	17	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/triggers/triggers.yml	cfb18f0e2ef4	651	17	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/versions/versions.yml	c070006c2a81	97	4	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/versions/v1/0/0/v1.0.0.yml	213f85f0543c	390	17	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/versions/v1/0/0/indexes/indexes.yml	adff648fe5cc	18	1	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/versions/v1/0/0/tables/tables.yml	adff648fe5cc	18	1	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-resources/src/main/resources/db/changelog/audit/view/view.yml	e3a71c6503dc	21	2	audit/flow-audit-resources	config	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-sdk/pom.xml	8417889f2f28	1985	62	audit/flow-audit-sdk	build	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-sdk-api/pom.xml	787211eea567	1150	35	audit/flow-audit-sdk-api	build	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-sdk-api/src/main/java/br/com/sawcunhaos/flow/audit/sdk/api/AuditAction.java	1e760e833320	452	21	audit/flow-audit-sdk-api	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-sdk-api/src/main/java/br/com/sawcunhaos/flow/audit/sdk/api/AuditableAPI.java	db0f73cdac7a	664	26	audit/flow-audit-sdk-api	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
audit/flow-audit-sdk-api/src/main/java/br/com/sawcunhaos/flow/audit/sdk/api/AuditableEntity.java	6f9dd89187c5	1507	51	audit/flow-audit-sdk-api	codigo	effba6673329	2026-09-09	Samuel Cunha	1	1
etc/api/ScosComponents.yml	1874e297653b	7016	313	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	1	1
etc/api/geotemporal/ScosGeotemporal_Address.yml	c3c651688dfe	60045	1715	_raiz	config	2db520edb726	2026-09-06	Samuel Cunha	1	1
etc/api/geotemporal/ScosGeotemporal_Configuration.yml	abf959c22349	6567	201	_raiz	config	2db520edb726	2026-09-06	Samuel Cunha	1	1
etc/api/geotemporal/ScosGeotemporal_Day.yml	564404eaa4c2	42527	1223	_raiz	config	2db520edb726	2026-09-06	Samuel Cunha	1	1
etc/api/organization/ScosOrganization_Catalog.yml	ab6136c424c3	15962	453	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	6	1
etc/api/organization/ScosOrganization_Company.yml	ac5e032d1741	53920	1523	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	9	1
etc/api/organization/ScosOrganization_Configuration.yml	d7eee6ff40f0	6298	192	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	5	1
etc/api/organization/ScosOrganization_Department-Position.yml	189698ad1f7c	29994	826	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	8	1
etc/api/organization/ScosOrganization_Employee.yml	94eae4783ea8	51694	1399	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	9	1
etc/api/organization/ScosOrganization_Login.yml	3a3f43c95d31	44227	1240	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	11	1
etc/api/organization/ScosOrganization_LoginApprovalRequest.yml	ae7a88e49cbb	10593	293	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	2	1
etc/api/organization/ScosOrganization_Outbox.yml	d1c7a6a85ced	12809	390	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	5	1
etc/api/organization/ScosOrganization_Reason.yml	fc0feaeb5839	31608	862	_raiz	config	1ad7b1d4640d	2026-08-23	Samuel Cunha	6	1
etc/architecture/PADROES-CODIGO-SawCunhaOS-Flow.md	c560ec9565fd	36609	857	_raiz	doc	1ad7b1d4640d	2026-08-23	Samuel Cunha	2	1
etc/architecture/PADROES-NOMENCLATURA-SawCunhaOS-Flow.md	2b3733707e1a	25461	558	_raiz	doc	b72b2dcc0f63	2026-08-16	Samuel Cunha	2	1
etc/architecture/api-development-guidelines.md	960cc445ad80	22034	384	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	3	1
etc/architecture/etapa-1-diagramas.md	1891d8a5b74e	10515	247	_raiz	doc	b842220c8024	2026-07-18	Samuel Cunha	1	1
etc/database/geotemporal/database_address.puml	733d19a538f2	5652	247	_raiz	nao_classificado	2db520edb726	2026-09-06	Samuel Cunha	1	1
etc/database/geotemporal/domain_model.md	a8b5d15c45ab	99177	1598	_raiz	doc	2db520edb726	2026-09-06	Samuel Cunha	1	1
etc/database/organization/domain_model.md	a8b5d15c45ab	99177	1598	_raiz	doc	ab13021f9c80	2026-08-16	Samuel Cunha	1	1
etc/database/organization/seed_data.sql	ded7e60cb985	18070	369	_raiz	codigo	effba6673329	2026-09-09	Samuel Cunha	3	1
etc/doc/Briefing.md	34a5f39e3851	10040	94	_raiz	doc	36df5f4a00a3	2026-07-18	Samuel Cunha	1	1
etc/doc/config-env-vars.md	023c1814244c	4404	48	_raiz	doc	36df5f4a00a3	2026-07-18	Samuel Cunha	2	1
etc/doc/api/ScosOrganization.postman_collection.json	3fd0006704e7	153096	6143	_raiz	nao_classificado	428513a4c07a	2026-08-16	Samuel Cunha	3	1
etc/doc/ideia/20260606_adequacao-liquibase-domain-model.md	1b6b23d19379	19121	381	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	1	1
etc/doc/ideia/20260608_adequacao-rest-nivel2-organization.md	bad406e43de7	13867	249	_raiz	doc	1949ac293dae	2026-06-08	Samuel Cunha	0	1
etc/doc/ideia/20260608_atualizacao-models-dominio-conforme-banco.md	c4536bc1f3cd	19580	329	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	2	1
etc/doc/ideia/20260608_correcao-erros-specs-openapi-organization.md	c2c0b30a6d38	8420	132	_raiz	doc	6b271f73a443	2026-06-08	Samuel Cunha	0	1
etc/doc/ideia/20260701_adequacao-liquibase-domain-model.md	5fe9b78a9017	10086	150	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	2	1
etc/doc/ideia/20260701_atualizacao-entidades-jpa-liquibase-v2.md	a7d2c7f328a3	16494	160	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	3	1
etc/doc/ideia/20260701_catalogo-tipo-endereco-contato.md	f3f28fd91c46	10203	120	_raiz	doc	cac94dcc0cf6	2026-07-18	Samuel Cunha	2	1
